city;Latitude;Longitude
Spijk;51.855;5.0078
Dalem;51.8278;5.0094
Vleuten;52.1081;5.015
Middelie;52.5322;5.0172
Abbekerk;52.7308;5.0175
Wognum;52.6819;5.0228
Rijswijk;51.7975;5.0236
Loenen;52.2419;5.0275
Nigtevecht;52.2742;5.0278
Wieringerwerf;52.85;5.03
Vreeland;52.2297;5.0311
Warder;52.5641;5.0311
Giessen;51.7886;5.0328
Vrijhoeve-Capelle;51.6667;5.0333
Monnickendam;52.4547;5.0353
Maarssen;52.1408;5.0394
Weesp;52.3075;5.0417
IJsselstein;52.02;5.0422
Nederhorst den Berg;52.2567;5.0458
Edam;52.5167;5.05
Besoijen;51.6833;5.05
Kedichem;51.86;5.0503
Katwoude;52.4694;5.0506
Leerbroek;51.9089;5.0514
Twisk;52.7403;5.0517
Op-Andel;51.7839;5.0539
Drongelen;51.715;5.0542
Hoorn;52.6425;5.0597
Oudenrijn;52.0819;5.06
Oost-Vlieland;53.2959;5.0665
Kaatsheuvel;51.6667;5.0667
Goirle;51.5203;5.0671
Volendam;52.4994;5.0675
Oud-Zuilen;52.1272;5.0694
Waalwijk;51.6825;5.0694
Muiden;52.3292;5.0714
Maarsseveen;52.1408;5.0736
Midwoud;52.7178;5.0736
Loon op Zand;51.6275;5.0758
Heukelum;51.8731;5.0767
Opperdoes;52.7597;5.0781
Genderen;51.7353;5.0878
Tilburg;51.5572;5.0911
Leerdam;51.8939;5.0914
Vianen;51.9889;5.0917
Nieuwegein;52.0314;5.0919
Baardwijk;51.6919;5.0956
Ankeveen;52.2653;5.0989
Medemblik;52.7674;5.1037
Westerblokker;52.6644;5.1061
Asperen;51.8814;5.1067
Kerkbuurt;52.4581;5.1067
Veen;51.7769;5.1097
Kortenhoef;52.2397;5.1147
Schoonrewoerd;51.9206;5.1158
Schellinkhout;52.6342;5.1203
Utrecht;52.0908;5.1222
Herwijnen;51.8253;5.1303
Wijk en Aalburg;51.7542;5.1306
Oudover;52.2;5.1333
Westwoud;52.6864;5.1333
Zuilichem;51.8086;5.1344
Oud-Heusden;51.7231;5.1361
Hilvarenbeek;51.4861;5.1367
Achttienhoven;52.1483;5.1389
Udenhout;51.6094;5.1403
Nieuw-Loosdrecht;52.2019;5.1406
